EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	23:02:09	0.1000	2.6626	2.4219	0.2581	0.2581	0.2581	0.2581
2	23:02:11	0.1000	2.2519	2.0271	0.4516	0.4516	0.4516	0.4516
3	23:02:12	0.1000	1.9142	1.8024	0.5000	0.5000	0.5000	0.5000
4	23:02:14	0.1000	1.5710	1.8535	0.4516	0.4516	0.4516	0.4516
5	23:02:15	0.1000	1.4236	1.9201	0.4677	0.4677	0.4677	0.4677
6	23:02:15	0.1000	1.3244	1.6927	0.5484	0.5484	0.5484	0.5484
7	23:02:17	0.1000	1.1308	1.7012	0.5000	0.5000	0.5000	0.5000
8	23:02:18	0.1000	0.9657	1.5920	0.5323	0.5323	0.5323	0.5323
9	23:02:19	0.1000	0.9656	1.6006	0.5645	0.5645	0.5645	0.5645
10	23:02:20	0.1000	0.8639	1.5019	0.5806	0.5806	0.5806	0.5806
11	23:02:22	0.1000	0.7912	1.7303	0.5161	0.5161	0.5161	0.5161
12	23:02:22	0.1000	0.7090	1.5926	0.5161	0.5161	0.5161	0.5161
13	23:02:23	0.1000	0.6419	1.6892	0.5000	0.5000	0.5000	0.5000
14	23:02:24	0.1000	0.5726	1.4424	0.5968	0.5968	0.5968	0.5968
15	23:02:26	0.1000	0.5186	1.4656	0.6452	0.6452	0.6452	0.6452
16	23:02:27	0.1000	0.4375	1.6674	0.5323	0.5323	0.5323	0.5323
17	23:02:28	0.1000	0.5109	1.4410	0.6452	0.6452	0.6452	0.6452
18	23:02:29	0.1000	0.4140	1.5815	0.5968	0.5968	0.5968	0.5968
19	23:02:30	0.1000	0.4182	1.5801	0.6129	0.6129	0.6129	0.6129
20	23:02:31	0.1000	0.3438	1.7266	0.5161	0.5161	0.5161	0.5161
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	23:05:22	0.1000	2.7953	2.5932	0.1774	0.1774	0.1774	0.1774
2	23:05:23	0.1000	2.1969	2.3239	0.2742	0.2742	0.2742	0.2742
3	23:05:25	0.1000	1.9160	1.7889	0.5000	0.5000	0.5000	0.5000
4	23:05:26	0.1000	1.6295	1.7882	0.5484	0.5484	0.5484	0.5484
5	23:05:28	0.1000	1.4406	1.8947	0.4355	0.4355	0.4355	0.4355
6	23:05:29	0.1000	1.2847	1.9473	0.3871	0.3871	0.3871	0.3871
7	23:05:30	0.1000	1.1887	1.8832	0.5000	0.5000	0.5000	0.5000
8	23:05:30	0.1000	0.9702	1.7082	0.5000	0.5000	0.5000	0.5000
9	23:05:31	0.1000	0.8766	1.8116	0.4355	0.4355	0.4355	0.4355
10	23:05:32	0.1000	0.8205	1.5154	0.5645	0.5645	0.5645	0.5645
11	23:05:34	0.1000	0.7906	1.4948	0.6129	0.6129	0.6129	0.6129
12	23:05:36	0.1000	0.6909	1.5368	0.5484	0.5484	0.5484	0.5484
13	23:05:37	0.1000	0.6054	1.5519	0.5645	0.5645	0.5645	0.5645
14	23:05:37	0.1000	0.6050	1.5848	0.5000	0.5000	0.5000	0.5000
15	23:05:38	0.1000	0.5496	1.7638	0.5323	0.5323	0.5323	0.5323
16	23:05:39	0.1000	0.5237	1.5691	0.5968	0.5968	0.5968	0.5968
17	23:05:40	0.1000	0.4542	1.9427	0.5161	0.5161	0.5161	0.5161
18	23:05:41	0.0500	0.3339	1.3486	0.6452	0.6452	0.6452	0.6452
19	23:05:49	0.0500	0.2929	1.4700	0.6613	0.6613	0.6613	0.6613
20	23:05:56	0.0500	0.2771	1.4609	0.5968	0.5968	0.5968	0.5968
