sentence,label
leaking hose on slew filter,h
blown hydrulic hose,h
left hand dash lights out,h
replace dogbone pins and bushes,h
hoist no4 motor overhaul-elec/mech,h
drag limits reset,h
front rhs fire alarm,h
rear door jammed,h
insp hyd cyl tong clamp,h
replace broken bolt on imp valve,h
oil reels on tanker seized,h
replace lube room door handle,h
repair bottom step bent cabin,h
audit missing motor cover latches,h
left arm rest keeps droping down,h
rh dump rope snapped,h
replace engine hood gas strut,h
repair hyd hoses see text,h
drain & flush cooling system,h
fuel pressure reading inaccurate,h
rhr inner drive tyre needs replacing,h
replace lift hose rhs,h
replace u/s jockey wheel,h
inspect and grease tunnel roller bearing,h
mech insp trk roll 0 lh,h
