sentence,label
hst drag brk filter shows signs of leaking,s
c/o rear a/con condensor fans,s
rhs lower camframe inspect post shut,h
chge out leaking axle oil cool,s
air cond thermostat not functioning properly,h
leak detected infan pump,s
change out tyre pos 0,h
fluidlvl in drag rope pmp cavity lo,h
over on hoist pinion,h
replace leaking lube pump,h
leaking observed in heater taps,s
brkn condenser fa n pump bolt found,h
check over issue with a/c system,s
replace leaky lh tilt cyl hose,h
cabindoor is leaking,s
replace pos 8 wheel end po,s
692 cables removed,s
leak in air aircon hose,s
replace faulty brake sensor1 task,s
drag brk hose is leaking,h
noisy operation of bear detected,h
water sparator filt hose hasa leak,h
hyd motor colo pump hose is leaking,h
cw coolant leak from #15 cylind,s
flt found in swg pump mtr lube,h
d/l air a/c fan speed resistor not working,h
hmu leaking hydraulic fluid,h
replace leaking air aircon hose,s
plug has a leak,s
stabilizer bar found broken,h
change out l/h lift cyl,h
decking has several cracks,h
rep steering fault & ride control,s
weeping observed on controller filt hose,s
l/h side stick cylinder leak,h
replace l/h front 1/4 window,s
leaikng fluid fr swingbrake pump,s
gasket isleaking,s
weeping controller filt hose observed,s
arm rest u/s,s
a/cond fan omp is leaking,h
hea t ssink clamp found brnk,s
replace drag ropes on d/line,h
hoist pony drive motor stopped working,h
aftercooler gauge faulty,h
intake fans 8 & 5 indication not working,s
mv3594- c/out steering ball studs,h
fan spd resistor for air con n/w,h
hydraulic lift cyl produces excessive noise,h
replace bonnet hinges,h
broken clamp on pump hose detected,s
rh front light blown,s
coolant is leaking fr dif cool pmp,h
machine isn't starting,s
repair damaged pos 6 guard,h
hst motor hose shows a leak,s
chassis cross member shows a crack,s
no1 hoist generator flashed over,s
cabin roof heater taps show leakking,s
replace blown dash globes,h
engine fan pmp hose has a leak,s
leak in air conditioner compress safety v/v,h
inspect hyd leak around articulation,s
drag gen field exciter trips,h
stauff clamp missing bolt,s
oil leak near alt,h
tank showing signs of cracking,h
fw9593-fire suppression inspection,h
qr0218c/o rhbucket cylinder stauff clam,h
127 hour prevent maintenance tbc,h
replace bonnet straps,s
leak detected in cool fan pump hose,s
dragline 5 fault,h
648 hr preventative maintenance,h
hoist drag roller bearings have gone shot,h
xw7976- cw coolant leak from radiator,h
water tap 6 fill drills faulty,s
axle oil cooler hose is leaking,s
precleaner bowls on air con damaged,h
boom foot clevbis pin has no grease,h
jz9248- replace pressure sensor,s
c/o cab pressuriser,s
trye is unserviceable,s
leaking eng pump motor hose needs rep,h
diff lube hose insp for leaks,h
replace leaking engine fan hose,s
swg brakecool return hose has a leak,s
vims ecm error fault,s
major cable reroute,h
2000 hr service,h
c/o blown pos 3 tyre,s
fab rag bins,s
repair blade tilt fault,h
low transmission oil level,h
repl diff cool hose to front diff,h
leaking cover plate requires attention,s
fox 500hr service,s
pcr room over alarm,s
noisyequalizer bar brng,h
air conditioner fan hose is leaking,h
