sentence,label
hst drag brk filter shows signs of leaking,h
c/o rear a/con condensor fans,h
rhs lower camframe inspect post shut,s
chge out leaking axle oil cool,s
air cond thermostat not functioning properly,h
leak detected infan pump,s
change out tyre pos 0,h
fluidlvl in drag rope pmp cavity lo,s
over on hoist pinion,s
replace leaking lube pump,h
leaking observed in heater taps,h
brkn condenser fa n pump bolt found,s
check over issue with a/c system,h
replace leaky lh tilt cyl hose,h
cabindoor is leaking,s
replace pos 8 wheel end po,s
692 cables removed,s
leak in air aircon hose,s
replace faulty brake sensor1 task,s
drag brk hose is leaking,h
noisy operation of bear detected,s
water sparator filt hose hasa leak,s
hyd motor colo pump hose is leaking,h
cw coolant leak from #15 cylind,s
flt found in swg pump mtr lube,s
d/l air a/c fan speed resistor not working,h
hmu leaking hydraulic fluid,h
replace leaking air aircon hose,s
plug has a leak,s
stabilizer bar found broken,s
change out l/h lift cyl,h
decking has several cracks,h
rep steering fault & ride control,h
weeping observed on controller filt hose,h
l/h side stick cylinder leak,h
replace l/h front 1/4 window,s
leaikng fluid fr swingbrake pump,s
gasket isleaking,s
weeping controller filt hose observed,h
arm rest u/s,h
a/cond fan omp is leaking,s
hea t ssink clamp found brnk,s
replace drag ropes on d/line,h
hoist pony drive motor stopped working,h
aftercooler gauge faulty,h
intake fans 8 & 5 indication not working,h
mv3594- c/out steering ball studs,h
fan spd resistor for air con n/w,s
hydraulic lift cyl produces excessive noise,h
replace bonnet hinges,h
broken clamp on pump hose detected,h
rh front light blown,h
coolant is leaking fr dif cool pmp,s
machine isn't starting,s
repair damaged pos 6 guard,h
hst motor hose shows a leak,s
chassis cross member shows a crack,h
no1 hoist generator flashed over,h
cabin roof heater taps show leakking,s
replace blown dash globes,h
engine fan pmp hose has a leak,s
leak in air conditioner compress safety v/v,s
inspect hyd leak around articulation,h
drag gen field exciter trips,h
stauff clamp missing bolt,h
oil leak near alt,s
tank showing signs of cracking,h
fw9593-fire suppression inspection,h
qr0218c/o rhbucket cylinder stauff clam,h
127 hour prevent maintenance tbc,h
replace bonnet straps,h
leak detected in cool fan pump hose,h
dragline 5 fault,h
648 hr preventative maintenance,h
hoist drag roller bearings have gone shot,s
xw7976- cw coolant leak from radiator,h
water tap 6 fill drills faulty,h
axle oil cooler hose is leaking,h
precleaner bowls on air con damaged,h
boom foot clevbis pin has no grease,h
jz9248- replace pressure sensor,h
c/o cab pressuriser,h
trye is unserviceable,h
leaking eng pump motor hose needs rep,h
diff lube hose insp for leaks,h
replace leaking engine fan hose,h
swg brakecool return hose has a leak,h
vims ecm error fault,h
major cable reroute,h
2000 hr service,h
c/o blown pos 3 tyre,h
fab rag bins,s
repair blade tilt fault,h
low transmission oil level,h
repl diff cool hose to front diff,h
leaking cover plate requires attention,h
fox 500hr service,h
pcr room over alarm,s
noisyequalizer bar brng,s
air conditioner fan hose is leaking,h
