sentence,label
fabricate radiator stands,S
hoist blower 6 tripping out,H
fit full set of lug tyres only 0,H
hitch hose needs replaced,S
cabin controls oil temp gauge u/s,S
wtr pump shaft must be repl,S
change out w/pump sft unserviceable,S
hand is cracked,S
leak found in fan pump oil,S
replace bucket pins & bushes,H
wiper motor hose needs oil leak repair,H
replace leaking a/c fan pmp,H
assisted vistacam,H
centrifuge hose requires repair,H
replace charge hose leaking oil,H
crack in windscreen,H
diagnose and repair spray faults,S
cable unwrap from tub,H
1000h mech insp trk roll 2 rh,S
moderate eng oil leak,S
tool inspection paul,S
service mcc tripping,H
weeing found on slew pump hose,S
send tyre to mes for rebuild,S
dropped cellin batt,S
window frame requires loctite,H
swing brake hose is in need of rep,S
2 weekly scheduled servicing tbc,H
roller need 2 change out,H
seat loose,H
weeping hose,H
slew pump oil was found,S
roof heater hose found weeping,H
engine shut fault,H
replace bottom steer shaft universal,H
c/o 2ndery parkbrake release hos,S
water in dash fault,H
replace worn bogie pads,H
leak in hst brk. hose,S
repl missing boom locking pins,H
inverter batteriesare not charged,S
ss0308-c/out turbo primary lft frnt,H
coolant pipe clamps require loctite,S
fix earthing out hoist blower inverter,S
repair carcks on cross braces,S
d/line air conditioner not producing cold,S
#2 swing gearcase re-build,H
repair hyd tank cover,H
puchase up et programs and a,S
repl rhs corner tooth,H
d/rope pump hose has leak,H
steering pump oil leaks,H
loctite needed on brk pump bolt,H
repair crack in boom chofd,S
noise fr hydraulic lift cylind.,H
clar hr air con servic,S
parts washer pump chip sensor alarm,S
replace leaking alternator drv,H
repair leak in sldw brake pmp,H
apply loctite on clamps,S
fire ext requires service,S
controller filter needs rep worn,H
0 teemp alarms up at same time,S
roll l/hand drag chain 180deg,S
filter hose requires fitting,H
boarding ladder is not wor king,S
loctite needed on differential pump bolt,S
steering hose worn,H
526upper lh deflection sheave brg grease,S
rep crack in rock deflector,S
sm2291-fire suppression inspection,H
replace diff pressure sensor,H
drain swing shaft 8 tray &clean up oil,S
leak of hydoil from cooler fan hose,S
auto-lube system fault,H
oil pressure gauge not working,H
leak under roto,S
leak in condenser fan hose,H
replace a/c vent louver,S
replace cracked glass window,H
oil leaking fr brk filter hose,H
no grease in dogbone pin,H
uq9701- c/out steering ball studs,H
fuel leaking fr. fan pump,S
cracked engi cover,H
swing faults /change out motor,S
hoist brk hose needs 2 be cleaned,S
leaking pipe on front of power divider,H
cw replace u/s engine scavengeg,S
blade offset switch fault,H
propel no3 motor o/haul-elec/mech,S
repair leak in hmu hose,H
install hand returns,S
repair ride control&oil leaks,S
emergency lighting audit elect,S
cab needs resealing,H
mr0229-c/out # 75 faulty injector ass,S
end for end drag chains d/line,S
tx has oil leak,S
cracked w/dow,S
