sentence,label
fabricate radiator stands,s
hoist blower 6 tripping out,s
fit full set of lug tyres only 0,s
hitch hose needs replaced,s
cabin controls oil temp gauge u/s,s
wtr pump shaft must be repl,s
change out w/pump sft unserviceable,h
hand is cracked,h
leak found in fan pump oil,h
replace bucket pins & bushes,s
wiper motor hose needs oil leak repair,h
replace leaking a/c fan pmp,h
assisted vistacam,h
centrifuge hose requires repair,s
replace charge hose leaking oil,h
crack in windscreen,h
diagnose and repair spray faults,s
cable unwrap from tub,h
1000h mech insp trk roll 2 rh,s
moderate eng oil leak,h
tool inspection paul,s
service mcc tripping,s
weeing found on slew pump hose,s
send tyre to mes for rebuild,s
dropped cellin batt,s
window frame requires loctite,h
swing brake hose is in need of rep,s
2 weekly scheduled servicing tbc,h
roller need 2 change out,s
seat loose,s
weeping hose,h
slew pump oil was found,s
roof heater hose found weeping,s
engine shut fault,s
replace bottom steer shaft universal,s
c/o 2ndery parkbrake release hos,s
water in dash fault,s
replace worn bogie pads,s
leak in hst brk. hose,h
repl missing boom locking pins,s
inverter batteriesare not charged,s
ss0308-c/out turbo primary lft frnt,s
coolant pipe clamps require loctite,h
fix earthing out hoist blower inverter,h
repair carcks on cross braces,h
d/line air conditioner not producing cold,h
#2 swing gearcase re-build,s
repair hyd tank cover,h
puchase up et programs and a,s
repl rhs corner tooth,s
d/rope pump hose has leak,s
steering pump oil leaks,s
loctite needed on brk pump bolt,s
repair crack in boom chofd,s
noise fr hydraulic lift cylind.,s
clar hr air con servic,h
parts washer pump chip sensor alarm,s
replace leaking alternator drv,h
repair leak in sldw brake pmp,s
apply loctite on clamps,s
fire ext requires service,h
controller filter needs rep worn,h
0 teemp alarms up at same time,s
roll l/hand drag chain 180deg,h
filter hose requires fitting,h
boarding ladder is not wor king,h
loctite needed on differential pump bolt,s
steering hose worn,s
526upper lh deflection sheave brg grease,s
rep crack in rock deflector,h
sm2291-fire suppression inspection,h
replace diff pressure sensor,h
drain swing shaft 8 tray &clean up oil,s
leak of hydoil from cooler fan hose,s
auto-lube system fault,s
oil pressure gauge not working,s
leak under roto,h
leak in condenser fan hose,h
replace a/c vent louver,s
replace cracked glass window,h
oil leaking fr brk filter hose,s
no grease in dogbone pin,s
uq9701- c/out steering ball studs,s
fuel leaking fr. fan pump,h
cracked engi cover,s
swing faults /change out motor,h
hoist brk hose needs 2 be cleaned,h
leaking pipe on front of power divider,h
cw replace u/s engine scavengeg,s
blade offset switch fault,h
propel no3 motor o/haul-elec/mech,h
repair leak in hmu hose,h
install hand returns,s
repair ride control&oil leaks,h
emergency lighting audit elect,h
cab needs resealing,h
mr0229-c/out # 75 faulty injector ass,s
end for end drag chains d/line,s
tx has oil leak,h
cracked w/dow,h
