EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	23:06:07	0.1000	2.5560	2.0218	0.3833	0.3833	0.3833	0.3833
2	23:06:12	0.1000	1.5986	1.3993	0.5500	0.5500	0.5500	0.5500
3	23:06:16	0.1000	1.1877	1.1676	0.6333	0.6333	0.6333	0.6333
4	23:06:21	0.1000	0.9107	0.9286	0.7500	0.7500	0.7500	0.7500
5	23:06:26	0.1000	0.7824	0.9653	0.6667	0.6667	0.6667	0.6667
6	23:06:28	0.1000	0.6767	0.8775	0.7333	0.7333	0.7333	0.7333
7	23:06:30	0.1000	0.6252	0.8126	0.7583	0.7583	0.7583	0.7583
8	23:06:35	0.1000	0.5770	0.7783	0.7917	0.7917	0.7917	0.7917
9	23:06:40	0.1000	0.4988	0.7887	0.7750	0.7750	0.7750	0.7750
10	23:06:42	0.1000	0.4872	0.7613	0.7583	0.7583	0.7583	0.7583
11	23:06:44	0.1000	0.4212	0.7992	0.7667	0.7667	0.7667	0.7667
12	23:06:47	0.1000	0.3934	0.9397	0.7250	0.7250	0.7250	0.7250
13	23:06:49	0.1000	0.3536	0.8026	0.7833	0.7833	0.7833	0.7833
14	23:06:51	0.1000	0.3400	0.8399	0.7417	0.7417	0.7417	0.7417
15	23:06:53	0.0500	0.2666	0.7309	0.8167	0.8167	0.8167	0.8167
16	23:06:56	0.0500	0.2376	0.6878	0.8250	0.8250	0.8250	0.8250
17	23:06:59	0.0500	0.1879	0.7781	0.8250	0.8250	0.8250	0.8250
18	23:07:01	0.0500	0.2264	0.8106	0.7833	0.7833	0.7833	0.7833
19	23:07:04	0.0500	0.1924	0.7034	0.8333	0.8333	0.8333	0.8333
20	23:07:07	0.0500	0.1735	0.7422	0.8250	0.8250	0.8250	0.8250
