EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	23:12:39	0.1000	2.5581	1.9679	0.4167	0.4167	0.4167	0.4167
2	23:12:43	0.1000	1.4792	1.3571	0.6250	0.6250	0.6250	0.6250
3	23:12:47	0.1000	1.0843	1.4391	0.5417	0.5417	0.5417	0.5417
4	23:12:50	0.1000	0.8425	1.0134	0.7014	0.7014	0.7014	0.7014
5	23:12:53	0.1000	0.7362	1.0691	0.6806	0.6806	0.6806	0.6806
6	23:12:56	0.1000	0.6226	0.9137	0.7014	0.7014	0.7014	0.7014
7	23:12:59	0.1000	0.5292	0.7875	0.7708	0.7708	0.7708	0.7708
8	23:13:03	0.1000	0.4439	0.8132	0.7292	0.7292	0.7292	0.7292
9	23:13:06	0.1000	0.4310	0.6380	0.7986	0.7986	0.7986	0.7986
10	23:13:10	0.1000	0.3932	0.7430	0.7708	0.7708	0.7708	0.7708
11	23:13:13	0.1000	0.3296	0.7482	0.7778	0.7778	0.7778	0.7778
12	23:13:16	0.1000	0.3274	0.9060	0.7292	0.7292	0.7292	0.7292
13	23:13:19	0.1000	0.2824	0.7652	0.7917	0.7917	0.7917	0.7917
14	23:13:22	0.1000	0.2593	0.9648	0.7500	0.7500	0.7500	0.7500
15	23:13:25	0.1000	0.2728	0.7941	0.7847	0.7847	0.7847	0.7847
16	23:13:28	0.0500	0.1761	0.6429	0.8056	0.8056	0.8056	0.8056
17	23:13:32	0.0500	0.1865	0.6303	0.7986	0.7986	0.7986	0.7986
18	23:13:35	0.0500	0.1535	0.7339	0.7847	0.7847	0.7847	0.7847
19	23:13:38	0.0500	0.1541	0.6590	0.7986	0.7986	0.7986	0.7986
20	23:13:41	0.0500	0.1284	0.7082	0.8125	0.8125	0.8125	0.8125
