cooler pump bolt requires replacing,PhysicalObject/HoldingObject/FasteningObject,cooler pump bolt,needs replacing
motor hose is unserviceable,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,motor hose,unserviceable
clean out required for controller filter hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,controller filter hose,needs clean out
condenser fan hose is blown,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,condenser fan hose,blown
speedometer not working,PhysicalObject/SensingObject/TimeRatingObject,speedometer,not working
cracked rock deflector needs repair,PhysicalObject/ProtectingObject/EnvironmentProtectingObject,rock deflector,crack
air conditioner fan hose leaks grease,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,air conditioner fan hose,leak grease
replace auto-greaser door window,PhysicalObject/ControllingObject/SpaceAccessObject,auto-greaser door window,needs replacing
mast raise cylinder pin is without grease,PhysicalObject/HoldingObject/FasteningObject,mast raise cylinder pin,no grease
siren found unserviceable,PhysicalObject/EmittingObject/AcousticWaveEmittingObject,siren,unserviceable
unserviceable motor hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,motor hose,unserviceable
clevis pin grease leaking,PhysicalObject/ProtectingObject/WearProtectingObject,clevis pin grease,leak
cross braces have cracks,PhysicalObject/HoldingObject/ReinforcingObject,cross braces,cracks
worn hoist brake filter,PhysicalObject/MatterProcessingObject/MechanicalSeparatingObject,hoist brake filter,worn
crack in rock deflector,PhysicalObject/ProtectingObject/EnvironmentProtectingObject,rock deflector,crack
exhaust clamp found broken,PhysicalObject/HoldingObject/PositioningObject,exhaust clamp,broken
not meshing pto,PhysicalObject/TransformingObject/MechanicalEnergyTransformingObject,pto,not meshing
charge hose leaking needs replacement,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,charge hose,leaking
noise from roller bearing,PhysicalObject/HoldingObject/JointingObject,roller bearing,noisy
pto cavity needs emptying,PhysicalObject/InterfacingObject/SpaceLinkingObject,pto cavity,emptying
slew pump chip sensor has alarm,PhysicalObject/SensingObject/ConcentrationSensingObject,slew pump chip sensor,alarm
replace differential pump bolt,PhysicalObject/HoldingObject/FasteningObject,differential pump bolt,needs replacing
engine air conditioner hose needs to be repaired,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,engine air conditioner hose,needs repair
slew pump cavity is low,PhysicalObject/InterfacingObject/SpaceLinkingObject,slew pump cavity,low
control valve needs replacement unserviceable,PhysicalObject/ControllingObject/SealedFluidVaryingObject,control valve,unserviceable
transmission oil leaks,PhysicalObject/ProtectingObject/WearProtectingObject,transmission oil,leaks
operator cabin air conditioner cover cracking,PhysicalObject/CoveringObject/ClosureObject,operator cabin air conditioner cover,cracking
differential pump oil has a leak,PhysicalObject/ProtectingObject/WearProtectingObject,differential pump oil,leak
drag brake pump leaks fuel,PhysicalObject/GeneratingObject/LiquidFlowGeneratingObject,drag brake pump,leak fuel
replace leaking swing brake hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,swing brake hose,leaking coolant
replace steering pump hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,steering pump hose,needs replaced
fan motor hose needs replacing,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,fan motor hose,needs replacing
batteries are not charged,PhysicalObject/GeneratingObject/ChemicalToElectricalEnergyGeneratingObject,batteries,no charge
extend engine fan hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,engine fan hose,needs extending
engine pump bolt needs loctite,PhysicalObject/HoldingObject/FasteningObject,engine pump bolt,needs loctite
extinguisher is out of date,PhysicalObject,extinguisher,out of date
engine fan speed resistor not working,PhysicalObject/RestrictingObject/ElectricityRestrictingObject,engine fan speed resistor,not working
brake pump hose leaking,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,brake pump hose,leaking
grease missing from dogbone pin,PhysicalObject/HoldingObject/FasteningObject,dogbone pin,no grease
leaking air compressor oil,PhysicalObject/ProtectingObject/WearProtectingObject,air compressor oil,leaking
crowd cylinder hose leaking hydraulic oil,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,crowd cylinder hose,leak hydraulic oil
movement in steering column,PhysicalObject/TransformingObject/MechanicalEnergyTransformingObject,steering column,movement
crack in pipe,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,pipe,cracked
fitting needed for slew brake hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,slew brake hose,needs fitting
leaking fuel from drag rope pump,PhysicalObject/GeneratingObject/LiquidFlowGeneratingObject,drag rope pump,leaking fuel
repair cracked exhaust shield,PhysicalObject/ProtectingObject/TemperatureProtectingObject,exhaust shield,cracked
thermostat needs replacement unserviceable,PhysicalObject/SensingObject/TemperatureSensingObject,thermostat,unserviceable
cooler fan hose needs to be cleaned,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,cooler fan hose,needs clean out
batteries need charging,PhysicalObject/GeneratingObject/ChemicalToElectricalEnergyGeneratingObject,batteries,no charge
weeping pressure compensator,PhysicalObject/ProtectingObject/PressureProtectingObject,pressure compensator,weeping
replace blown centrifuge hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,centrifuge hose,blown
air conditioner faults found,PhysicalObject/EmittingObject/ElectricCoolingObject,air conditioner,faults
liner has a crack,PhysicalObject/ProtectingObject/WearProtectingObject,liner,crack
leaking air from radiator relief valves,PhysicalObject/ControllingObject/SealedFluidVaryingObject,radiator relief valves,leaking air
repair crack in windscreen,PhysicalObject/ControllingObject/SpaceAccessObject,windscreen,crack
repair crack in window,PhysicalObject,window,crack
leaking oil from swing motor hoses,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,swing motor hoses,leaking oil
inverter batteries showing no charge,PhysicalObject/GeneratingObject/ChemicalToElectricalEnergyGeneratingObject,inverter batteries,no charge
need clean out cooler fan hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,cooler fan hose,needs clean out
wiper motor hose leak hydraulic oil,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,wiper motor hose,leak hydraulic oil
headboard is cracked,PhysicalObject/HoldingObject/StructuralSupportingObject,headboard,cracks
found engine oil,PhysicalObject/ProtectingObject/WearProtectingObject,engine oil,found
need repair mast dust flap,PhysicalObject/ProtectingObject/EnvironmentProtectingObject,mast dust flap,needs repair
replace leaking pilot valve solenoid,PhysicalObject/DrivingObject/ElectromagneticLinearDrivingObject,pilot valve solenoid,leak
glass has a crack,PhysicalObject/InterfacingObject/SpaceLinkingObject,glass,cracked
drag roller bearing is noisy,PhysicalObject/HoldingObject/JointingObject,drag roller bearing,noisy
repair engine pump hose needed,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,engine pump hose,needs repair
replace leaking swing brake filter,PhysicalObject/MatterProcessingObject/MechanicalSeparatingObject,swing brake filter,leaking oil
replace engine fan speed resistor not working,PhysicalObject/RestrictingObject/ElectricityRestrictingObject,engine fan speed resistor,not working
auto-greaser door window needs replacing,PhysicalObject/ControllingObject/SpaceAccessObject,auto-greaser door window,needs replacing
replace leaking engine pump hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,engine pump hose,leaking
drag rope pump leaking,PhysicalObject/GeneratingObject/LiquidFlowGeneratingObject,drag rope pump,leak
broken auto-greaser door window,PhysicalObject/ControllingObject/SpaceAccessObject,auto-greaser door window,broken
speedometer is not working,PhysicalObject/SensingObject/TimeRatingObject,speedometer,not working
clean out cooler fan hose needed,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,cooler fan hose,needs clean out
bucket is cracked,PhysicalObject,bucket,cracks
radiator is blocked by grass,PhysicalObject/EmittingObject/ThermalEnergyTransferObject,radiator,blocked grass
replace fuse that keeps blowing,PhysicalObject/ProtectingObject/OvercurrentProtectingObject,fuse,keep blowing
pto cavity is in emptying state,PhysicalObject/InterfacingObject/SpaceLinkingObject,pto cavity,emptying
transmission slipping fault present,PhysicalObject/TransformingObject/MechanicalEnergyTransformingObject,transmission,slipping fault
repair leak in drag rope pump,PhysicalObject/GeneratingObject/LiquidFlowGeneratingObject,drag rope pump,leak
engine oil found,PhysicalObject/ProtectingObject/WearProtectingObject,engine oil,found
unserviceable shaft universal joint,PhysicalObject/GuidingObject/MechanicalEnergyGuidingObject,shaft universal joint,unserviceable
operator cabin air conditioner hose needs replacement,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,operator cabin air conditioner hose,needs replaced
grease missing from mast raise cylinder pin,PhysicalObject/HoldingObject/FasteningObject,mast raise cylinder pin,no grease
worn padding,PhysicalObject/ProtectingObject/PreventiveProtectingObject,padding,worn
weeping cooler hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,cooler hose,weeping
replace leaking air conditioner fan pump,PhysicalObject/GeneratingObject/LiquidFlowGeneratingObject,air conditioner fan pump,leak
cracked liner,PhysicalObject/ProtectingObject/WearProtectingObject,liner,crack
screen found unserviceable,PhysicalObject/MatterProcessingObject/MechanicalSeparatingObject,screen,unserviceable
compressor found not working,PhysicalObject/GeneratingObject/GaseousFlowGeneratingObject,compressor,not working
charge hose has a leak,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,charge hose,leaking
cooler fan hose leaking hydraulic oil,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,cooler fan hose,leak hydraulic oil
slew motor hose requires fitting,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,slew motor hose,needs fitting
mast lights harness found unserviceable,PhysicalObject/HoldingObject/StructuralSupportingObject,mast lights harness,unserviceable
replace pto pump hose leaking coolant,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,pto pump hose,leak coolant
replace broken mirror,PhysicalObject/GuidingObject/LightGuidingObject,mirror,broken
drag blower inverter is earthing out,PhysicalObject/TransformingObject/ElectricEnergyConvertingObject,drag blower inverter,earthing out
motor hose found unserviceable,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,motor hose,unserviceable
airhorn is not working,PhysicalObject/PresentingObject/AcousticDevice,airhorn,not working
steering cylinder pin lacking grease,PhysicalObject/HoldingObject/FasteningObject,steering cylinder pin,no grease
loctite needed for drag rope pump bolt,PhysicalObject/HoldingObject/FasteningObject,drag rope pump bolt,needs loctite
drivers window has a fault,PhysicalObject/ControllingObject/SpaceAccessObject,drivers window,fault
leak oil in transmission hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,transmission hose,leak oil
low level in slew pump cavity,PhysicalObject/InterfacingObject/SpaceLinkingObject,slew pump cavity,low
heater hose is unserviceable,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,heater hose,unserviceable
fault in lights fuse,PhysicalObject/ProtectingObject/OvercurrentProtectingObject,lights fuse,fault
drag motor lube has fault,PhysicalObject/ProtectingObject/WearProtectingObject,drag motor lube,fault
replace dragline air conditioner hose leaking air,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,dragline air conditioner hose,leak air
found thrust bearing oil,PhysicalObject/ProtectingObject/WearProtectingObject,thrust bearing oil,found
hoist brake hose has hydraulic oil leak,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,hoist brake hose,leak hydraulic oil
replace cooler pump bolt,PhysicalObject/HoldingObject/FasteningObject,cooler pump bolt,needs replacing
leak hydraulic oil from wiper motor hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,wiper motor hose,leak hydraulic oil
fault in drag motor lube,PhysicalObject/ProtectingObject/WearProtectingObject,drag motor lube,fault
leak oil from hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,hose,leak oil
gantry has a crack,PhysicalObject,gantry,crack
unserviceable siren,PhysicalObject/EmittingObject/AcousticWaveEmittingObject,siren,unserviceable
fan hose needs to be replaced,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,fan hose,needs replaced
replace leaking condenser fan hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,condenser fan hose,leaking air
contamination switch for pto pump on,PhysicalObject/SensingObject/ConcentrationSensingObject,pto pump contamination switch,on
steering control valve falling off,PhysicalObject/ControllingObject/SealedFluidVaryingObject,steering control valve,falling off
radio needs aerial,PhysicalObject,radio,needs aerial
aerial needed for radio,PhysicalObject,radio,needs aerial
crack found in tank,PhysicalObject,tank,crack
leak in cooler fan hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,cooler fan hose,leak
fire suppression mounts cracked,PhysicalObject/HoldingObject/StructuralSupportingObject,fire suppression mounts,cracks
replace blown motor hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,motor hose,blown
exhaust shield has a crack,PhysicalObject/ProtectingObject/TemperatureProtectingObject,exhaust shield,cracked
differential leaking oil,PhysicalObject/TransformingObject/MechanicalEnergyTransformingObject,differential,leak oil
operator cabin air conditioner feels warm,PhysicalObject/EmittingObject/ElectricCoolingObject,operator cabin air conditioner,warm
steering pump drive leaking,PhysicalObject/DrivingObject/ElectromagneticRotationalDrivingObject,steering pump drive,leaking
hitch hose needs replacing,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,hitch hose,needs replacing
compressor bearing has noise,PhysicalObject/HoldingObject/JointingObject,compressor bearing,noisy
replace lights fuse fault,PhysicalObject/ProtectingObject/OvercurrentProtectingObject,lights fuse,fault
replace dogbone bolt needed,PhysicalObject/HoldingObject/FasteningObject,dogbone bolt,needs replaced
repair cracked pipe,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,pipe,cracked
boom foot cracked,PhysicalObject/HoldingObject/StructuralSupportingObject,boom foot,crack
replace leaking drag rope pump hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,drag rope pump hose,leak
heater hose found unserviceable,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,heater hose,unserviceable
swing pump broken,PhysicalObject/GeneratingObject/LiquidFlowGeneratingObject,swing pump,broken
filter hose fitting required,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,filter hose,needs fitting
found oil on frame,PhysicalObject,frame,found oil
transmission hose requires replacing,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,transmission hose,needs replacing
clean out roof heater hose needed,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,roof heater hose,needs clean out
cracks in cabin mounts,PhysicalObject/HoldingObject/StructuralSupportingObject,cabin mounts,cracks
crack found in blade liner,PhysicalObject/ProtectingObject/WearProtectingObject,blade liner,crack
repair needed for walk motor brake hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,walk motor brake hose,needs repair
need change out dragline air conditioner,PhysicalObject/EmittingObject/ElectricCoolingObject,dragline air conditioner,need change out
walk motor brake sensor not functioning,PhysicalObject/SensingObject,walk motor brake sensor,not reading
leak coolant from hydraulic motor engine oil cooler,PhysicalObject/EmittingObject/ThermalCoolingObject,hydraulic motor engine oil cooler,leak coolant
repair needed for engine air conditioner,PhysicalObject/EmittingObject/ElectricCoolingObject,engine air conditioner,needs repair
replace head pulley shaft,PhysicalObject/GuidingObject/MechanicalEnergyGuidingObject,head pulley shaft,requires replacing
engine pump o-ring blown,PhysicalObject/CoveringObject/InfillingObject,engine pump o-ring,blown
air conditioner compressor not functioning,PhysicalObject/GeneratingObject/GaseousFlowGeneratingObject,air conditioner compressor,not working
wiper fuse continues to blow,PhysicalObject/ProtectingObject/OvercurrentProtectingObject,wiper fuse,keeps blowing
repair needed for mast dust flap,PhysicalObject/ProtectingObject/EnvironmentProtectingObject,mast dust flap,needs repair
engine air conditioner is unserviceable,PhysicalObject/EmittingObject/ElectricCoolingObject,engine air conditioner,unserviceable
blown o-ring in boom hose,PhysicalObject/CoveringObject/InfillingObject,boom hose o-ring,blown
swing motor hoses have oil leak,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,swing motor hoses,leaking oil
fuel cooler mounts are cracked,PhysicalObject/HoldingObject/StructuralSupportingObject,fuel cooler mounts,cracks
air conditioner in operator cabin warm,PhysicalObject/EmittingObject/ElectricCoolingObject,operator cabin air conditioner,warm
lighting requires to be tagged,PhysicalObject/EmittingObject/LightObject,lighting,requires tagging
slipping fault in transmission,PhysicalObject/TransformingObject/MechanicalEnergyTransformingObject,transmission,slipping fault
leaking pump drive,PhysicalObject/DrivingObject/ElectromagneticRotationalDrivingObject,pump drive,leaking
pto pump contamination switch stays on,PhysicalObject/SensingObject/ConcentrationSensingObject,pto pump contamination switch,on
apply loctite to coolant pipe clamps,PhysicalObject/HoldingObject/PositioningObject,coolant pipe clamps,needs loctite
engine is vibrating,PhysicalObject/DrivingObject/CombustionEngine,engine,vibration
cooler pump bolt needs to be replaced,PhysicalObject/HoldingObject/FasteningObject,cooler pump bolt,needs replacing
clam cylinder hose clamp needs replacement,PhysicalObject/HoldingObject/PositioningObject,clam cylinder hose clamp,broken
blown cooler hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,cooler hose,blown
engine pump hose requires repair,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,engine pump hose,needs repair
