seemingly random stoppage
arbitrary stop
unexpected stoppage
unintended stop
unforeseen halt
unanticipated stop
ceasing operation abruptly
unscheduled stop
uncalled-for end
unexplained end
unexpected shutdown
unexpected halt
randomly ceasing
irregular halt
unforeseen cessation
unpredictable cessation
unexplained termination
stoppage without warning
unforeseen stoppage
unplanned cessation
aberrant stop
intermittent stoppage
improperly stopping
random cessation
stoppage out of nowhere
spontaneous halt
unexpected ceasing
unforeseen end
stoppage during usage
unintended halt
unexplained stoppage
unexplained halt
sudden stoppage
surprise stoppage
abrupt stoppage
irregular cessation
spontaneous stop
unprovoked stop
discontinuation without reason
abrupt end
abrupt halt
unannounced stoppage
unexpected cessation
stoppage out of the blue
unanticipated halt
irregular end
arbitrary cessation
unannounced halt
unplanned stoppage
aberrant end
unforeseen stop
uncalled-for stoppage
random halt
stoppage during operation
unpredictable halt
unexpected end
halted without cause
disruption in operation
unpredicted stoppage
unplanned stop
stoppage out of the ordinary
