scalding hot
thermal overload
smoldering
"smoke coming out
thermal degradation"
sizzling sound
scorched wires
scorch marks
blistered surface
red hot
thermal expansion
thermal runaway
glowing red
hot to touch
heat warning light
smell of smoke
melting components
smoking excessively
"thermal stress
heat damage"
radiating heat
heating up rapidly
flaring up
fire hazard
running very hot
burning smell
"ignited material
excessive heat"
temperature rising
burn marks
smell of burning
sparking
emitting heat
temperature alarm
scorched surface
blazing
extreme heat
flames visible
thermal event
fire risk
