does not engage
no output
does not activate
wont turn
does not shut
does not function
not switching
not engaging
no action
not responding
does not respond
not operational
does not close
no function
does not react
cannot activate
no operation
no response
does not work
not operating
not reacting
not running
cannot function
not functioning
not working
no activation
not shutting
not turning
not closing
does not run
no reaction
not starting
not activating
does not operate
not moving
does not turn
does not move
cannot move
