Physical Object,Undesirable Event,Helper PO/Event,Valid
STATE_AGENT_ACTIVITY_PATHS,,,
seat,needs,boost,
seat,needs,fitting,
seat,needs,replaced,
seat,needs,extending,
seat,needs,repair,
seat,needs,resealing,
seat,needs,clean out,
air conditioner,needs,fitting,
air conditioner,needs,replaced,
air conditioner,needs,extending,
air conditioner,needs,repair,
air conditioner,needs,resealing,
air conditioner,needs,clean out,
air conditioner,needs,replacing,
clamps,needs,boost,
clamps,needs,replaced,
clamps,needs,extending,
clamps,needs,repair,
clamps,needs,resealing,
clamps,needs,clean out,
clamps,needs,replacing,
am / fm radio,needs,boost,
am / fm radio,needs,fitting,
am / fm radio,needs,replaced,
am / fm radio,needs,extending,
am / fm radio,needs,repair,
am / fm radio,needs,resealing,
am / fm radio,needs,clean out,
am / fm radio,needs,replacing,
bolt,needs,boost,
bolt,needs,fitting,
bolt,needs,replaced,
bolt,needs,extending,
bolt,needs,repair,
bolt,needs,resealing,
bolt,needs,clean out,
bolt,needs,replacing,
dust flap,needs,boost,
dust flap,needs,fitting,
dust flap,needs,replaced,
dust flap,needs,repair,
dust flap,needs,resealing,
dust flap,needs,clean out,
dust flap,needs,replacing,
joystick,needs,boost,
joystick,needs,fitting,
joystick,needs,replaced,
joystick,needs,extending,
joystick,needs,resealing,
joystick,needs,clean out,
joystick,needs,replacing,
cabin,needs,boost,
cabin,needs,fitting,
cabin,needs,replaced,
cabin,needs,extending,
cabin,needs,repair,
cabin,needs,clean out,
isolator,needs,boost,
isolator,needs,fitting,
isolator,needs,replaced,
isolator,needs,extending,
isolator,needs,repair,
isolator,needs,resealing,
isolator,needs,replacing,
hose,needs,boost,
hose,needs,fitting,
hose,needs,extending,
hose,needs,repair,
hose,needs,resealing,
hose,needs,clean out,
hose,needs,replacing,
window frame,needs,boost,
window frame,needs,fitting,
window frame,needs,replaced,
window frame,needs,extending,
window frame,needs,resealing,
window frame,needs,clean out,
window frame,needs,replacing,
light,needs,boost,
light,needs,fitting,
light,needs,replaced,
light,needs,extending,
light,needs,repair,
light,needs,resealing,
light,needs,clean out,
window,needs,boost,
window,needs,fitting,
window,needs,replaced,
window,needs,extending,
window,needs,repair,
window,needs,clean out,
window,needs,replacing,
line,needs,boost,
line,needs,fitting,
line,needs,replaced,
line,needs,extending,
line,needs,repair,
line,needs,resealing,
line,needs,clean out,
air conditioner,need,adjusting,
air conditioner,need,change out,
air conditioner,need,fitted,
roller,need,adjusting,
roller,need,cleaning,
roller,need,change out,
switches,need,cleaning,
switches,need,change out,
switches,need,fitted,
cutting edges,need,adjusting,
cutting edges,need,cleaning,
cutting edges,need,fitted,
tracks,need,cleaning,
tracks,need,change out,
tracks,need,fitted,
shaft,requires,tagging,
shaft,requires,testing,
line,requires,tagging,
line,requires,testing,
grease gauges,requires,tagging,
grease gauges,requires,testing,
lighting,requires,replacing,
STATE_AGENT_PATIENT_PATHS,,,
cabin,missing,safety flag,
cabin,missing,bolt,
cabin,missing,fuel breather,
cabin,missing,fuel cap,
cabin,missing,cutting edge,
cabin,missing,flag,
cabin,missing,poppet valve,
seat,needs,loctite,
seat,needs,aerial,
air conditioner,needs,loctite,
air conditioner,needs,aerial,
clamps,needs,loctite,
clamps,needs,aerial,
am / fm radio,needs,loctite,
bolt,needs,aerial,
dust flap,needs,loctite,
dust flap,needs,aerial,
joystick,needs,loctite,
joystick,needs,aerial,
cabin,needs,loctite,
cabin,needs,aerial,
isolator,needs,loctite,
isolator,needs,aerial,
hose,needs,loctite,
hose,needs,aerial,
window frame,needs,loctite,
window frame,needs,aerial,
light,needs,loctite,
light,needs,aerial,
window,needs,loctite,
window,needs,aerial,
line,needs,loctite,
line,needs,aerial,
pin,no,grease lines,
radiator,blocked,dryer,
PROCESS_AGENT_PATIENT_PATHS,,,
diverter valve,leak,dust,
fuel tank,leak,dust,
accumulator,leak,dust,
solenoid,leak,dust,
jacket water pump,leak,dust,
radiator,leak,dust,
engine,leak,dust,
oil cooler,leak,dust,
safety valve,leak,dust,
transmission,leak,dust,
pump,leak,dust,
radiator tank,leak,dust,
door,leak,dust,
high voltage slip ring,leak,dust,
swingbox,leak,dust,
cover plate,leak,dust,
differential,leak,dust,
air compressor,leak,dust,
pilot filter,leak,dust,
coupling,leak,dust,
hose,leak,dust,
exhaust,leak,dust,
diverter valve,leak,hydraulic oil,
fuel tank,leak,hydraulic oil,
accumulator,leak,hydraulic oil,
solenoid,leak,hydraulic oil,
jacket water pump,leak,hydraulic oil,
radiator,leak,hydraulic oil,
engine,leak,hydraulic oil,
oil cooler,leak,hydraulic oil,
safety valve,leak,hydraulic oil,
transmission,leak,hydraulic oil,
pump,leak,hydraulic oil,
radiator tank,leak,hydraulic oil,
door,leak,hydraulic oil,
high voltage slip ring,leak,hydraulic oil,
swingbox,leak,hydraulic oil,
cover plate,leak,hydraulic oil,
window,leak,hydraulic oil,
differential,leak,hydraulic oil,
air compressor,leak,hydraulic oil,
pilot filter,leak,hydraulic oil,
coupling,leak,hydraulic oil,
hose,leak,hydraulic oil,
exhaust,leak,hydraulic oil,
fuel tank,leak,oil,
accumulator,leak,oil,
solenoid,leak,oil,
jacket water pump,leak,oil,
radiator,leak,oil,
oil cooler,leak,oil,
safety valve,leak,oil,
radiator tank,leak,oil,
door,leak,oil,
high voltage slip ring,leak,oil,
window,leak,oil,
coupling,leak,oil,
hose,leak,oil,
exhaust,leak,oil,
diverter valve,leak,coolant,
fuel tank,leak,coolant,
accumulator,leak,coolant,
solenoid,leak,coolant,
radiator,leak,coolant,
safety valve,leak,coolant,
