sentence,label
unserviceable hose on diff pump,s
cracked engine cover,s
repair bottom step bent cabin,h
audit missing motor cover latches,h
replace engine hood gas strut,h
inverter batteries arenot charged,s
rear door jammed,h
repair leak in slew brake pmp,s
blown hydrulic hose,h
tilt cylinder guard found brkn,s
hoist no4 motor overhaul-elec/mech,h
mech insp trk roll 0 lh,h
oil reels on tanker seized,h
blowing engi. air conditioner fuse,s
inspect and grease tunnel roller bearing,h
fuel leakingfrom fan pump,s
apply loctite on bot,s
ins cracks in stick,s
cooler pump bolt needsloctite,s
crack in windscreen,s
leak oil frtransmission hose,s
leaking chip indicators,s
dogbone bolt needxs loctite,s
left hand dash lights out,h
repair crack in rock deflector,s
rhr inner drive tyre needs replacing,h
replacing needed 4 carousel bolt,s
no grease in dogbone pin,s
coolant pipe clamps req loctite,s
drain & flush cooling system,h
fuel pressure reading inaccurate,h
hitch hose requires clean,s
oil leaking from brake filter hose,s
blower inverter batteries are discharging,s
replace u/s jockey wheel,h
repair hyd hoses see text,h
sgw brake hose is in need of repair,s
replace lube room door handle,h
replace dogbone pins and bushes,h
front rhs fire alarm,h
rh dump rope snapped,h
emptying d/rope pmp cavity,s
cracking on cov,s
drag limits reset,h
leaking hose on slew filter,h
left arm rest keeps droping down,h
replace broken bolt on imp valve,h
insp hyd cyl tong clamp,h
rep leaking brake pmp hose,s
replace lift hose rhs,h
