sentence,label
wttr separator filter is leaking; rpl it,s
change lube filters,h
replace blown cooler fan hose,s
extend roof heater hose,s
repair faulty e circuit,h
replace #1 hoist lube filter,h
lh bottom light replaced,h
tooth metric camera not workingtw,h
despragg drag ropes,h
make jumper leads for workshop,h
air leak fdr brakehose,s
investigate noise from pos 0,h
replace air con guard,h
c/out pos 1 tyre,h
replace both front headlight assemblies,h
diagnose trans overheat fault,h
22 bar compressor service,h
open electrical room for vistacam downloads,h
water separator filt has aan oil leak,s
has a big delay in bucket crowd,h
there's a leakin the pump,s
replace main battery fuse,h
supply cmqs get sled,h
investigate noise from ring gear,h
replace f/drive duo seals & bearing,h
replace transmission cracked,h
repl blown steering hose,h
repair gearshift fault not selecting,h
draglineair conditioner fuse continually blows,s
worn filter rqs replacement,s
coolantleak in engine air conditioner hose,s
need 2 cean drag brk sw/s,s
fittingrequired 4 boom cylind hose,s
c/o drag rope sockets,h
blown line detected,s
hoist blower lube showing fault,s
oil leaking from pedestal seals,s
swag mtr hoses need oil leak rep,s
warning light is continuously on,s
ripper boot fell off,h
cooler fa hose shows signs of eak,s
swg brake hose leaking oil,s
movement on steering column,h
temp err in a/dooler,s
fill and adjust boom chord air pressures,h
leak detected in hoist motor hose,s
window has a crack,s
boarding ladder currently not working,s
investigate/replace bucket grease lines,h
hoist brake sw/sd need adjt,s
coolant hose leaking fluid,s
leak from grease pump,h
replace diff cooler hoses,h
us cond pf head pulley shaft universal joint,s
fire alarm drag walk cubicle,h
hydoil oiil leaking fr differential pump hose,s
leak of fuel in engine oil cooler hose,s
engine oil cooler coolant leak,h
woper mtr hose has a fuel laek,s
c/o u/s quick release valve,h
replace broken lower rh step,h
cab door struts need to be replaced,s
oil is leaking fr slew br pmp,s
pk brake indicator light is intermittently going on and off,s
temp repairs to air con comp mount,h
inv/rep engine overheating,h
leaking oil fr controller filter,s
laarm sounding fr steering pump chip sensor,s
track press hire costs g,h
leak found in slew brk hose,s
c/o revolving lights,h
250h mech svce truck,h
broken bolt on cool pump,s
plate bolts loose no tie wire,h
pump mtr hose leaking air,s
500hr service -out/stding po's,h
ndt fairlead swivel frames vi mt,h
hoist brake filt shows oil leak,s
repair mounting of drive/s gaurd,h
fit new version rear id,h
coolant leakage from centrifuge filt hose,s
oil leak in cool,s
fuel lealk in torqye converter fan hoses,s
repair croud fault,h
swing brk ycl is unserviceable,s
do7053blade wear plates cracked and worn,h
repl bucket corner teeth,h
weeping controller filt hose,s
aircon elec plug,h
unserviceable air-cond hose,s
replace pto control solenoid,h
replace lhs steering cylinder,h
operators seat worn padding,h
diff pump bolt found missing,s
reppl leaking pump hose,s
leakk found in drag rope pump,s
chip indicators are leaking,s
coolant leaking from cabin seals,s
there rae leaks in exh,s
opr cabin air cond accesssory dve leaking,s
