sentence,label
fabricate radiator stands,h
hoist blower 6 tripping out,h
fit full set of lug tyres only 0,h
hitch hose needs replaced,s
cabin controls oil temp gauge u/s,h
wtr pump shaft must be repl,s
change out w/pump sft unserviceable,s
hand is cracked,s
leak found in fan pump oil,s
replace bucket pins & bushes,h
wiper motor hose needs oil leak repair,s
replace leaking a/c fan pmp,s
assisted vistacam,h
centrifuge hose requires repair,s
replace charge hose leaking oil,s
crack in windscreen,s
diagnose and repair spray faults,h
cable unwrap from tub,h
1000h mech insp trk roll 2 rh,h
moderate eng oil leak,h
tool inspection paul,h
service mcc tripping,h
weeing found on slew pump hose,s
send tyre to mes for rebuild,h
dropped cellin batt,s
window frame requires loctite,s
swing brake hose is in need of rep,s
2 weekly scheduled servicing tbc,h
roller need 2 change out,s
seat loose,h
weeping hose,s
slew pump oil was found,s
roof heater hose found weeping,s
engine shut fault,h
replace bottom steer shaft universal,h
c/o 2ndery parkbrake release hos,h
water in dash fault,h
replace worn bogie pads,h
leak in hst brk. hose,s
repl missing boom locking pins,h
inverter batteriesare not charged,s
ss0308-c/out turbo primary lft frnt,h
coolant pipe clamps require loctite,s
fix earthing out hoist blower inverter,s
repair carcks on cross braces,s
d/line air conditioner not producing cold,s
#2 swing gearcase re-build,h
repair hyd tank cover,h
puchase up et programs and a,h
repl rhs corner tooth,h
d/rope pump hose has leak,s
steering pump oil leaks,s
loctite needed on brk pump bolt,s
repair crack in boom chofd,s
noise fr hydraulic lift cylind.,s
clar hr air con servic,h
parts washer pump chip sensor alarm,s
replace leaking alternator drv,s
repair leak in sldw brake pmp,s
apply loctite on clamps,s
fire ext requires service,h
controller filter needs rep worn,s
0 teemp alarms up at same time,h
roll l/hand drag chain 180deg,h
filter hose requires fitting,s
boarding ladder is not wor king,s
loctite needed on differential pump bolt,s
steering hose worn,h
526upper lh deflection sheave brg grease,h
rep crack in rock deflector,s
sm2291-fire suppression inspection,h
replace diff pressure sensor,h
drain swing shaft 8 tray &clean up oil,h
leak of hydoil from cooler fan hose,s
auto-lube system fault,s
oil pressure gauge not working,h
leak under roto,h
leak in condenser fan hose,s
replace a/c vent louver,h
replace cracked glass window,s
oil leaking fr brk filter hose,s
no grease in dogbone pin,s
uq9701- c/out steering ball studs,h
fuel leaking fr. fan pump,s
cracked engi cover,s
swing faults /change out motor,h
hoist brk hose needs 2 be cleaned,s
leaking pipe on front of power divider,h
cw replace u/s engine scavengeg,h
blade offset switch fault,h
propel no3 motor o/haul-elec/mech,h
repair leak in hmu hose,s
install hand returns,h
repair ride control&oil leaks,h
emergency lighting audit elect,h
cab needs resealing,h
mr0229-c/out # 75 faulty injector ass,h
end for end drag chains d/line,h
tx has oil leak,s
cracked w/dow,s
