sentence,label
fabricate radiator stands,s
hoist blower 6 tripping out,s
fit full set of lug tyres only 0,s
hitch hose needs replaced,s
cabin controls oil temp gauge u/s,h
wtr pump shaft must be repl,s
change out w/pump sft unserviceable,h
hand is cracked,s
leak found in fan pump oil,s
replace bucket pins & bushes,h
wiper motor hose needs oil leak repair,h
replace leaking a/c fan pmp,s
assisted vistacam,h
centrifuge hose requires repair,h
replace charge hose leaking oil,h
crack in windscreen,h
diagnose and repair spray faults,h
cable unwrap from tub,h
1000h mech insp trk roll 2 rh,h
moderate eng oil leak,h
tool inspection paul,h
service mcc tripping,h
weeing found on slew pump hose,s
send tyre to mes for rebuild,h
dropped cellin batt,s
window frame requires loctite,h
swing brake hose is in need of rep,s
2 weekly scheduled servicing tbc,h
roller need 2 change out,h
seat loose,h
weeping hose,h
slew pump oil was found,h
roof heater hose found weeping,h
engine shut fault,h
replace bottom steer shaft universal,s
c/o 2ndery parkbrake release hos,s
water in dash fault,h
replace worn bogie pads,h
leak in hst brk. hose,s
repl missing boom locking pins,h
inverter batteriesare not charged,s
ss0308-c/out turbo primary lft frnt,h
coolant pipe clamps require loctite,h
fix earthing out hoist blower inverter,s
repair carcks on cross braces,s
d/line air conditioner not producing cold,h
#2 swing gearcase re-build,h
repair hyd tank cover,h
puchase up et programs and a,s
repl rhs corner tooth,h
d/rope pump hose has leak,h
steering pump oil leaks,h
loctite needed on brk pump bolt,h
repair crack in boom chofd,h
noise fr hydraulic lift cylind.,h
clar hr air con servic,s
parts washer pump chip sensor alarm,s
replace leaking alternator drv,s
repair leak in sldw brake pmp,s
apply loctite on clamps,h
fire ext requires service,h
controller filter needs rep worn,h
0 teemp alarms up at same time,s
roll l/hand drag chain 180deg,s
filter hose requires fitting,h
boarding ladder is not wor king,s
loctite needed on differential pump bolt,h
steering hose worn,s
526upper lh deflection sheave brg grease,h
rep crack in rock deflector,h
sm2291-fire suppression inspection,h
replace diff pressure sensor,h
drain swing shaft 8 tray &clean up oil,h
leak of hydoil from cooler fan hose,s
auto-lube system fault,h
oil pressure gauge not working,h
leak under roto,h
leak in condenser fan hose,h
replace a/c vent louver,h
replace cracked glass window,h
oil leaking fr brk filter hose,s
no grease in dogbone pin,h
uq9701- c/out steering ball studs,h
fuel leaking fr. fan pump,s
cracked engi cover,s
swing faults /change out motor,h
hoist brk hose needs 2 be cleaned,s
leaking pipe on front of power divider,h
cw replace u/s engine scavengeg,s
blade offset switch fault,h
propel no3 motor o/haul-elec/mech,h
repair leak in hmu hose,s
install hand returns,s
repair ride control&oil leaks,s
emergency lighting audit elect,h
cab needs resealing,h
mr0229-c/out # 75 faulty injector ass,h
end for end drag chains d/line,h
tx has oil leak,s
cracked w/dow,s
