sentence,label
bear on compressor noisy,s
emer gate latch found not working,s
pmp. bolt needs loctite,s
hydoil leak frombrake pump hose,s
operatorcab. fuse is blowing,s
unserviceable hose on diff pump,s
change out walk motor brake switches,s
brake pmpcavity emptying issue,s
no grease on pin,s
tilt cylinder guard found brkn,s
oil leaking from brake filter hose,s
steering chamber pin grease is leaking,s
a-frame clevis pin no grease,s
crack in windscreen,s
auto-lube sys. flt,s
w/dow needs a replacement,s
wtr separator filter hose needs repair,s
decking has cracks,s
adj noisy brg,s
repair cracks in fs mounts,s
door frame with hole,s
replace cracked glass window,s
apply loctite on bot,s
wiper mtr hose needs oil leak rep,s
centrifuge hose requires rep,s
