sentence,label
repl r/h corner tooth,h
oil leaking from brake filter hose,s
repair diff & air pressure sensor,h
fit grab handle to cab see text,h
no grease on pin,s
unserviceable hose on diff pump,s
hyd hose on stick leaking,h
oil leak @ air comp,h
hydoil leak frombrake pump hose,s
top 840 worklights out,h
auto-lube sys. flt,s
mti capacity study & labour,h
centrifuge hose requires rep,s
operatorcab. fuse is blowing,s
apply loctite on bot,s
replace cracked glass window,s
door frame with hole,s
drag motor blower connections,h
emer gate latch found not working,s
wtr separator filter hose needs repair,s
decking has cracks,s
brake pmpcavity emptying issue,s
steering chamber pin grease is leaking,s
repl mounting bolts for trans cool,h
bear on compressor noisy,s
adj noisy brg,s
repair hyd oil leak,h
grease gaurd protecter broken off,h
crack in windscreen,s
repair cracks in fs mounts,s
welding elcb trip no propel,h
repair pto shaft cover,h
change out walk motor brake switches,s
repair house light cab side middle,h
w/dow needs a replacement,s
repair low coolant fault,h
decommissioning,h
front struts low,h
r/h mubflap missing,h
diesel gen set service,h
tilt cylinder guard found brkn,s
replace front damaged window,h
camera monitor in cab faulty,h
replace conduits on fan motors,h
replace grease pump,h
a-frame clevis pin no grease,s
pmp. bolt needs loctite,s
drag rope change 24/03,h
sos sample engine see long text,h
wiper mtr hose needs oil leak rep,s
