sentence,label
pmp hose is in need of repair,s
brake pump cavity emptying issue,s
air conditioner requires replacement,s
replace hose end,h
dropped cellin batt,s
replace trans level gauge,h
inside sunshade missing,h
differential lock is brkn,s
-inspect-quote & repair tyres,h
lost power after shot,h
coolant pipe clamps require loctite,s
cracked engi cover,s
alarm sounding 4 d/rope pump sensor,s
w/dow needs a rep,s
replace l/h rear wheel group,h
repl gear change joystick,h
4 monthly air compressor service,h
replace u/s air compressor,h
low engine ppower fault,h
repair steering tank,h
dogbone bolt needs loctite,s
check hoist bullgear teeth at joints,h
cabin smoke detector needs replacement missing,s
c/o walkmotor brake switches,s
no start,h
d/line air conditioner not producing cold,s
oil sampling on all transformer,h
seat requires exxtending,s
rep crack in rock deflector,s
signage require in crush zone,h
eng oil leak lhs several,h
hose swivels u/s,h
repair blown hose,h
loop 0 drag trip,h
bucket get c/o,h
replace rh clearance light,h
loctite is needed on belly plate bolt,s
heater hose has aire leak,s
not working thermmostat,s
leak in hst brk. hose,s
frcp 13 inspect lifting equipment lmmmp,h
differential oil is leaking,s
ll3433-engine tune,h
leak found in fan pump oil,s
blowing engine air conditioner fuse,s
fix earthing out hoist blower inverter,s
low range not engaging,h
repl damaged rear window,h
pd2335-c/out pump brake cooling,h
bucket # 4 fit wear package onsite,h
replace evaporator fan,h
replace the bolt,s
repair oil leak around engine,h
inv/repair fuel gauge faulty,h
repair carcks on cross braces,s
replace failed alternator,h
cracks in diagonal braces in fr,h
replace cracked glass window,s
fan pmp contamination switch stays on,s
leak in condenser fan hose,s
t/c out speed sensor err,h
c/o pos 9 swing motor,h
drop gate,h
job completed waiting for parts po,h
blower inverter batteries are uncharged,s
air conditioner compressor continuously tripping out,s
remove broken diff rod bolts,h
drag/swing field ground fault warning,h
oil leak in re hose,s
replace tilt cylinder,h
hyd motor engi oil cooler leaking,s
centrifuge filterr leaking,s
repair crack in boom chofd,s
noise from jockey ply brng,s
cracked w/dow,s
fix transmission hose leak,s
steering sft needs repl,s
leaking hyd motor engine oiul,s
4yr general house oil change insp,h
a-frame clevis pin no grease,s
adjust noisy bearing,s
repair cracks in the front/ top of arch,h
exhaust inlet broken,h
l/h steering cyl leaking tbc,h
controller filt hose leaks oil,s
grease initiator harness,h
coolant leak from transmission hose,s
replace zereg weld output solenoid,h
restock the drag rope sleds,h
blowing fuse isue,s
crack in windscreen,s
c/o failed rh track,h
fuel cap missing,h
roof heater hose found weeping,s
apply loctite on bolt,s
swg brake pump brkn cond.,s
top cab lights wont turn off,h
hitchhose reqs clean out,s
loctite application needed on cab seat,s
crowd cylinder hose mount,h
