sentence,label
ltsare cont on,s
elec 1 wk service,h
hoist no1 input shft rear c/out-mec,h
fit and weld protector wings,h
oil pressure problem,h
watermeter lights sticking on 25%,h
py9512-c/out hyd motor cooler fan pos 7,h
brake pmp hsoe has hydraluic oil leakk,s
grease line leak ripper housing,h
cool hos needs extenstion,s
brokn mtr hose clamp,s
slip ring leak reqs grease application,s
cool fan hose shows signsof leek,s
blown 0-ring in oilcool hose,s
fuse carrier burnt out,h
replace damaged steering/hyd hose,h
sd remove chord material from shut site,h
bucket cylinder hose has air leak,s
pmp oill has a leakk,s
blade ctrlcable apears tiight,s
clamc yl hose has a feul leak,s
us drag roler bear idetified,s
investigate engine oil leak,h
leaking compress sfty vlv,s
front grill assm requires replacing,h
cw ss0308-c/out uni's eng-pump drv,h
swg pmp boltt needs replcaing,s
fail unis pump drive,h
hydraulic mtr engin oil hasleak,s
replacingof walk mtr brke hose neded,s
rep- brke press/switch,h
airis leakin from fan moter hosess,s
bucket pins not holing grease,h
watersep aratorfilter is leakin g; replace it,s
inv/rep hyd tank cover hinge,h
replace both headlights broken,h
air conditioning a/c blowing hot air,h
found snappped pmp driv e sft,s
replace blwon cooler fan hose,s
diffpum bolt foud missng,s
1000h mech insp hyd cyl feed rh,h
airconditioner cov showing crakcing,s
fiting requird 4 boom cylnder hose,s
pos 6 wheel end u/s,h
c/o u/s quick release valve,h
hydraulic filters need replacing,h
oil leak detected in condenser fan pmp,s
pmp moter hose requiers rep,s
leaking oil fr hyd moter cooler hosse,s
ripper shank is brokn,s
ripper pin,h
to0487-c/out turbo primary lft rear,h
grease requierd for roofheator hose,s
sensr found 2 be flty,s
744 hour service,h
reseal coolant tubes,h
crowd system hydraulic hose blown,h
replaced damaged pos 4 tyre,h
cool fanho se is leeking,s
oil leakage reduction drive output,h
leaking slew brk coolng hose,s
inspect/service drag/walk cabinets,h
blown linedetected,s
crak in transmisson droppbox hous,s
new dry air hose reels needed,h
replace leeking transmision hose,s
repairs to track links,h
auto grease system u/s,h
vims showng err',s
cool pmp boltt is broklen,s
radiator coolant leak detected,s
repl leaking rhs steering cylinder,h
supply hoses to cab tilt ram u/s,h
brakes smelly in house swing no 5,h
com slots to be cleaned out,h
boom/mast feet cracked as per bv,h
lost ripper boot,h
machine was flooded in a sump,h
replace pos1 blown tyre,h
dif pmp cavit yremains emptying,s
fitting required for slew mtr hose,s
engi pump hoserequires extening,s
air reg/drain/filter assy leaking,h
leaking pos 9 brake cooling hose,h
pedestal seals have feul leaking,s
swing no2 vertical shaft-mechanical,h
hoist brke filt shoows oil leakk,s
accumulater has a leack,s
cracks found in eng cover,s
dump rope came out,h
leaking fuell from steerring hoses,s
leak deteected in engi fan pmp greese,s
a/con not very cold,h
weeping contoller filte hose,s
elec 3 wk a/c filter cleaning,h
'replace blown coolerpum org'Return,s
loose panel front of cab exterior,h
joystick needs fixing due to being broken,s
lh propel upper bush 2nd grease inje,h
cabin seat is us'Return,s
