sentence,label
hst drag brk filter shows signs of leaking,s
c/o rear a/con condensor fans,s
rhs lower camframe inspect post shut,h
chge out leaking axle oil cool,s
air cond thermostat not functioning properly,s
leak detected infan pump,s
change out tyre pos 0,h
fluidlvl in drag rope pmp cavity lo,s
over on hoist pinion,s
replace leaking lube pump,h
leaking observed in heater taps,s
brkn condenser fa n pump bolt found,s
check over issue with a/c system,h
replace leaky lh tilt cyl hose,h
cabindoor is leaking,s
replace pos 8 wheel end po,h
692 cables removed,h
leak in air aircon hose,h
replace faulty brake sensor1 task,h
drag brk hose is leaking,s
noisy operation of bear detected,s
water sparator filt hose hasa leak,s
hyd motor colo pump hose is leaking,s
cw coolant leak from #15 cylind,h
flt found in swg pump mtr lube,h
d/l air a/c fan speed resistor not working,h
hmu leaking hydraulic fluid,h
replace leaking air aircon hose,h
plug has a leak,s
stabilizer bar found broken,s
change out l/h lift cyl,h
decking has several cracks,s
rep steering fault & ride control,h
weeping observed on controller filt hose,s
l/h side stick cylinder leak,h
replace l/h front 1/4 window,h
leaikng fluid fr swingbrake pump,s
gasket isleaking,s
weeping controller filt hose observed,s
arm rest u/s,h
a/cond fan omp is leaking,s
hea t ssink clamp found brnk,s
replace drag ropes on d/line,h
hoist pony drive motor stopped working,h
aftercooler gauge faulty,h
intake fans 8 & 5 indication not working,h
mv3594- c/out steering ball studs,h
fan spd resistor for air con n/w,s
hydraulic lift cyl produces excessive noise,s
replace bonnet hinges,h
broken clamp on pump hose detected,s
rh front light blown,h
coolant is leaking fr dif cool pmp,s
machine isn't starting,h
repair damaged pos 6 guard,h
hst motor hose shows a leak,s
chassis cross member shows a crack,s
no1 hoist generator flashed over,h
cabin roof heater taps show leakking,s
replace blown dash globes,h
engine fan pmp hose has a leak,s
leak in air conditioner compress safety v/v,h
inspect hyd leak around articulation,h
drag gen field exciter trips,h
stauff clamp missing bolt,h
oil leak near alt,h
tank showing signs of cracking,s
fw9593-fire suppression inspection,h
qr0218c/o rhbucket cylinder stauff clam,h
127 hour prevent maintenance tbc,h
replace bonnet straps,h
leak detected in cool fan pump hose,s
dragline 5 fault,h
648 hr preventative maintenance,h
hoist drag roller bearings have gone shot,s
xw7976- cw coolant leak from radiator,h
water tap 6 fill drills faulty,h
axle oil cooler hose is leaking,s
precleaner bowls on air con damaged,s
boom foot clevbis pin has no grease,s
jz9248- replace pressure sensor,h
c/o cab pressuriser,h
trye is unserviceable,s
leaking eng pump motor hose needs rep,s
diff lube hose insp for leaks,s
replace leaking engine fan hose,h
swg brakecool return hose has a leak,s
vims ecm error fault,h
major cable reroute,h
2000 hr service,h
c/o blown pos 3 tyre,h
fab rag bins,h
repair blade tilt fault,h
low transmission oil level,h
repl diff cool hose to front diff,h
leaking cover plate requires attention,s
fox 500hr service,h
pcr room over alarm,h
noisyequalizer bar brng,s
air conditioner fan hose is leaking,s
