sentence,label
hst drag brk filter shows signs of leaking,s
c/o rear a/con condensor fans,s
rhs lower camframe inspect post shut,s
chge out leaking axle oil cool,s
air cond thermostat not functioning properly,h
leak detected infan pump,s
change out tyre pos 0,h
fluidlvl in drag rope pmp cavity lo,s
over on hoist pinion,
replace leaking lube pump,h
leaking observed in heater taps,h
brkn condenser fa n pump bolt found,s
check over issue with a/c system,h
replace leaky lh tilt cyl hose,s
cabindoor is leaking,h
replace pos 8 wheel end po,h
692 cables removed,h
leak in air aircon hose,s
replace faulty brake sensor1 task,h
drag brk hose is leaking,h
noisy operation of bear detected,s
water sparator filt hose hasa leak,s
hyd motor colo pump hose is leaking,h
cw coolant leak from #15 cylind,h
flt found in swg pump mtr lube,s
d/l air a/c fan speed resistor not working,s
hmu leaking hydraulic fluid,h
replace leaking air aircon hose,s
plug has a leak,h
stabilizer bar found broken,h
change out l/h lift cyl,s
decking has several cracks,h
rep steering fault & ride control,h
weeping observed on controller filt hose,h
l/h side stick cylinder leak,s
replace l/h front 1/4 window,s
leaikng fluid fr swingbrake pump,s
gasket isleaking,s
weeping controller filt hose observed,h
arm rest u/s,s
a/cond fan omp is leaking,s
hea t ssink clamp found brnk,s
replace drag ropes on d/line,h
hoist pony drive motor stopped working,h
aftercooler gauge faulty,h
intake fans 8 & 5 indication not working,h
mv3594- c/out steering ball studs,h
fan spd resistor for air con n/w,s
hydraulic lift cyl produces excessive noise,h
replace bonnet hinges,h
broken clamp on pump hose detected,h
rh front light blown,h
coolant is leaking fr dif cool pmp,s
machine isn't starting,s
repair damaged pos 6 guard,h
hst motor hose shows a leak,s
chassis cross member shows a crack,s
no1 hoist generator flashed over,s
cabin roof heater taps show leakking,s
replace blown dash globes,h
engine fan pmp hose has a leak,h
leak in air conditioner compress safety v/v,h
inspect hyd leak around articulation,h
drag gen field exciter trips,h
stauff clamp missing bolt,h
oil leak near alt,h
tank showing signs of cracking,h
fw9593-fire suppression inspection,s
qr0218c/o rhbucket cylinder stauff clam,s
127 hour prevent maintenance tbc,s
replace bonnet straps,h
leak detected in cool fan pump hose,h
dragline 5 fault,h
648 hr preventative maintenance,s
hoist drag roller bearings have gone shot,s
xw7976- cw coolant leak from radiator,h
water tap 6 fill drills faulty,h
axle oil cooler hose is leaking,h
precleaner bowls on air con damaged,h
boom foot clevbis pin has no grease,h
jz9248- replace pressure sensor,h
c/o cab pressuriser,s
trye is unserviceable,h
leaking eng pump motor hose needs rep,h
diff lube hose insp for leaks,s
replace leaking engine fan hose,h
swg brakecool return hose has a leak,h
vims ecm error fault,s
major cable reroute,s
2000 hr service,s
c/o blown pos 3 tyre,h
fab rag bins,s
repair blade tilt fault,h
low transmission oil level,h
repl diff cool hose to front diff,s
leaking cover plate requires attention,s
fox 500hr service,s
pcr room over alarm,s
noisyequalizer bar brng,s
air conditioner fan hose is leaking,h
