Event,Text,Failure Mode
not working,<id> air conditioner thermostat not working
unserviceable,<id> air conditioner thermostat unserviceable
unserviceable,<id> air conditioner unserviceable
unserviceable,<id> air conditioner unserviceable when stationary
warm,<id> air conditioner warm
plugged,<id> air filters plugged
disconnected,<id> air horn disconnected
doesn't work,<id> air horn doesn't work
fault,<id> air horn fault
not working,<id> air horn not working
not working,<id> air horn not working compressor awaiting
stuck on,<id> air horn stuck on
unserviceable,<id> air horn unserviceable
working intermittently,<id> air horn working intermittently
not working,<id> airhorn not working
doesn't work,<id> alarm on VIMS doesn't work
on,<id> all dash lights on
failed,<id> alternator failed
not charging,<id> alternator not charging
overcharge fault,<id> alternator overcharge fault
fault,<id> alternator overcharge fault
overcharged,<id> alternator overcharged
failed,<id> analyse failed driveline component
faults,<id> and <id> lube system faults
unserviceable,<id> armrest unserviceable
unserviceable,<id> auto-greaser unserviceable
error,<id> auto-lube error PO
not working,<id> auto-spray feature not working
temperature fault,<id> axle temperature fault
fault,<id> axle temperature fault
fault,<id> axle temperature sensor fault
unserviceable,<id> back rest unserviceable handle broken
broken,<id> back rest unserviceable handle broken
to be fixed,<id> backhoe windscreen to be fixed
unserviceable,<id> backlight on dash unserviceable
blown,<id> backlights on dash blown
not working,<id> backup alarm not working
out of service,<id> batteries out of service
unserviceable,<id> batteries unserviceable
seized,<id> battery cover hinges seized
broken,<id> beacon mount is broken
not working,<id> beacon not working
unserviceable,<id> beacon unserviceable
unserviceable,<id> bearing on air conditioner compressor unserviceable
shot,<id> bearings are shot
missing,<id> belly plate bolt missing
bent,<id> bent belly plate
blown,<id> blade light blown needs replacing
needs,<id> blade light blown needs replacing
cracked,<id> blade skin cracked
worn,<id> blade wear plates cracked and worn
cracked,<id> blade wear plates cracked and worn
blown,<id> blown air conditioner hose
blown,<id> blown air conditioner hose to radiator
blown,<id> blown brake hose
blown,<id> blown crowd cylinder hose
blown,<id> blown extension line from position <num>
blown,<id> blown hose in hitch
blown,<id> blown hose on boom
blown,<id> blown lift cylinder o-ring
blown,<id> blown light on boom
blown,<id> blown o-ring off steering hose
blown,<id> blown o-ring on left hand lift cylinder
blown,<id> blown o-ring on steering hose
blown,<id> blown oil cooler hose - <num> x <num> <num> metre
blown,<id> blown position <num> tyre
blown,<id> blown right hand bucket cylinder hose
blown,<id> blown steering hose
blown,<id> blown steering pump hose
broken,<id> boarding gate hinge broken
not working,<id> boarding gate latch not working
not working,<id> boarding ladder not working
boost fault,<id> boost fault
fault,<id> boost fault
fault,<id> brake release fault
release fault,<id> brake release fault
error,<id> brake temperature error
temperature error,<id> brake temperature error
broken,<id> broken air conditioner guard
broken,<id> broken clamp on crowd cylinder hose TBC
broken,<id> broken fuel cooler mounts
broken,<id> broken grease plug
broken,<id> broken hinge
broken,<id> broken joystick PO
broken,<id> broken left hand side mirror
broken,<id> broken mirror
broken,<id> broken right hand side door window
broken,<id> broken ripper tooth
broken,<id> broken weld on handrail
cracked,<id> bucket cracked in arch near cancelled
cracked,<id> cabin door window cracked
needs,<id> cabin needs resealing
needs,<id> cabin seat needs replacing
needs,<id> cabin window needs resealing
fault,<id> camera fault
popped,<id> carousel popped bolt needs Loctite
needs,<id> carousel popped bolt needs Loctite
fault,<id> centrifugal oil filter fault
blown,<id> change out blown o-ring on steering pump
blown,<id> change out blown position <num> tyre
blown,<id> change out blown steering hose
broken,<id> change out broken bolt on brake pump
broken,<id> change out broken prelube bracket
broken,<id> change out broken stabilizer bar
cracked,<id> change out cracked pipe on valve bank
cracked,<id> change out cracked position <num> adaptor and tooth
broken,<id> change out exhaust clamp broken on left hand side [t |]
cracked,<id> change out front upper window cracked
worn out,<id> change out position <num> and <num> tyre worn out
not reading,<id> change out position <num> tyre - sensor not reading
damage,<id> change out position <num> tyre damage
unserviceable,<id> change out unserviceable jacket water pump
unserviceable,<id> change out unserviceable left hand bucket cylinder hose
unserviceable,<id> change out unserviceable position <num> tyre
unserviceable,<id> change out unserviceable right hand clam cylinder hose
unserviceable,<id> change out unserviceable right hand tilt cylinder
unserviceable,<id> change out unserviceable swing brake cylinder
worn,<id> change out worn position <num> tyre
flat,<id> change position <num> flat tyre
damage,<id> change position <num> tyre damage text
charging fault,<id> charging fault
fault,<id> charging fault
charge fault,<id> check for charge fault
fault,<id> check for charge fault
shutdown fault,<id> check repair shutdown fault
fault,<id> check repair shutdown fault
pressure fault,<id> chord pressure fault
fault,<id> chord pressure fault
unserviceable,<id> compressor oil pressure switch unserviceable
fault,<id> contactor fault
unserviceable,<id> control valve unserviceable see long text
