Event,Text,Failure Mode
not working,<id> air conditioner thermostat not working,failure to sense
unserviceable,<id> air conditioner thermostat unserviceable,failure to sense
unserviceable,<id> air conditioner unserviceable,failure to emit
unserviceable,<id> air conditioner unserviceable when stationary,failure to emit
warm,<id> air conditioner warm,failure to emit
plugged,<id> air filters plugged,failure to do something
disconnected,<id> air horn disconnected,failure to present
doesn't work,<id> air horn doesn't work,failure to do something
fault,<id> air horn fault,failure to present
not working,<id> air horn not working,failure to present
not working,<id> air horn not working compressor awaiting,failure to present
stuck on,<id> air horn stuck on,failure to present
unserviceable,<id> air horn unserviceable,failure to present
working intermittently,<id> air horn working intermittently,failure to present
not working,<id> airhorn not working,failure to present
doesn't work,<id> alarm on VIMS doesn't work,failure to present
on,<id> all dash lights on,failure to emit
failed,<id> alternator failed,failure to generate
not charging,<id> alternator not charging,failure to generate
overcharge fault,<id> alternator overcharge fault,failure to generate
fault,<id> alternator overcharge fault,failure to generate
overcharged,<id> alternator overcharged,failure to generate
failed,<id> analyse failed driveline component,failure to transform
faults,<id> and <id> lube system faults,failure to protect
unserviceable,<id> armrest unserviceable,failure to store
unserviceable,<id> auto-greaser unserviceable,failure to generate
error,<id> auto-lube error PO,failure to generate
not working,<id> auto-spray feature not working,failure to generate
temperature fault,<id> axle temperature fault,failure to do something
fault,<id> axle temperature fault,failure to do something
fault,<id> axle temperature sensor fault,failure to sense
unserviceable,<id> back rest unserviceable handle broken,failure to store
broken,<id> back rest unserviceable handle broken,failure to store
to be fixed,<id> backhoe windscreen to be fixed,failure to control
unserviceable,<id> backlight on dash unserviceable,failure to emit
blown,<id> backlights on dash blown,failure to emit
not working,<id> backup alarm not working,failure to present
out of service,<id> batteries out of service,failure to generate
unserviceable,<id> batteries unserviceable,failure to generate
seized,<id> battery cover hinges seized,failure to hold
broken,<id> beacon mount is broken,failure to hold
not working,<id> beacon not working,failure to emit
unserviceable,<id> beacon unserviceable,failure to emit
unserviceable,<id> bearing on air conditioner compressor unserviceable,failure to hold
shot,<id> bearings are shot,failure to hold
missing,<id> belly plate bolt missing,failure to hold
bent,<id> bent belly plate,failure to hold
blown,<id> blade light blown needs replacing,failure to emit
needs,<id> blade light blown needs replacing,failure to emit
cracked,<id> blade skin cracked,failure to protect
worn,<id> blade wear plates cracked and worn,failure to protect
cracked,<id> blade wear plates cracked and worn,failure to protect
blown,<id> blown air conditioner hose,failure to guide
blown,<id> blown air conditioner hose to radiator,failure to guide
blown,<id> blown brake hose,failure to guide
blown,<id> blown crowd cylinder hose,failure to guide
blown,<id> blown extension line from position <num>,failure to guide
blown,<id> blown hose in hitch,failure to guide
blown,<id> blown hose on boom,failure to guide
blown,<id> blown lift cylinder o-ring,failure to cover
blown,<id> blown light on boom,failure to emit
blown,<id> blown o-ring off steering hose,failure to cover
blown,<id> blown o-ring on left hand lift cylinder,failure to cover
blown,<id> blown o-ring on steering hose,failure to cover
blown,<id> blown oil cooler hose - <num> x <num> <num> metre,failure to guide
blown,<id> blown position <num> tyre,failure to guide
blown,<id> blown right hand bucket cylinder hose,failure to guide
blown,<id> blown steering hose,failure to guide
blown,<id> blown steering pump hose,failure to guide
broken,<id> boarding gate hinge broken,failure to hold
not working,<id> boarding gate latch not working,failure to control
not working,<id> boarding ladder not working,failure to interface
boost fault,<id> boost fault,failure to do something
fault,<id> boost fault,failure to do something
fault,<id> brake release fault,failure to do something
release fault,<id> brake release fault,failure to do something
error,<id> brake temperature error,failure to do something
temperature error,<id> brake temperature error,failure to do something
broken,<id> broken air conditioner guard,failure to protect
broken,<id> broken clamp on crowd cylinder hose TBC,failure to hold
broken,<id> broken fuel cooler mounts,failure to hold
broken,<id> broken grease plug,failure to control
broken,<id> broken hinge,failure to hold
broken,<id> broken joystick PO,failure to interact
broken,<id> broken left hand side mirror,failure to guide
broken,<id> broken mirror,failure to guide
broken,<id> broken right hand side door window,failure to control
broken,<id> broken ripper tooth,failure to do something
broken,<id> broken weld on handrail,failure to cover
cracked,<id> bucket cracked in arch near cancelled,failure to hold
cracked,<id> cabin door window cracked,failure to control
needs,<id> cabin needs resealing,failure to maintain
needs,<id> cabin seat needs replacing,failure to maintain
needs,<id> cabin window needs resealing,failure to maintain
fault,<id> camera fault,failure to sense
popped,<id> carousel popped bolt needs Loctite,failure to hold
needs,<id> carousel popped bolt needs Loctite,failure to hold
fault,<id> centrifugal oil filter fault,failure to do something
blown,<id> change out blown o-ring on steering pump,failure to cover
blown,<id> change out blown position <num> tyre,failure to guide
blown,<id> change out blown steering hose,failure to guide
broken,<id> change out broken bolt on brake pump,failure to hold
broken,<id> change out broken prelube bracket,failure to hold
broken,<id> change out broken stabilizer bar,failure to hold
cracked,<id> change out cracked pipe on valve bank,failure to guide
cracked,<id> change out cracked position <num> adaptor and tooth,failure to do something
broken,<id> change out exhaust clamp broken on left hand side [t |],failure to hold
cracked,<id> change out front upper window cracked,failure to control
worn out,<id> change out position <num> and <num> tyre worn out,failure to guide
not reading,<id> change out position <num> tyre - sensor not reading,failure to sense
damage,<id> change out position <num> tyre damage,failure to guide
unserviceable,<id> change out unserviceable jacket water pump,failure to generate
unserviceable,<id> change out unserviceable left hand bucket cylinder hose,failure to guide
