EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	20:09:04	0.1000	2.8009	2.4714	0.2903	0.2903	0.2903	0.2903
2	20:09:29	0.1000	2.2804	2.3268	0.3065	0.3065	0.3065	0.3065
3	20:09:53	0.1000	1.8476	2.1447	0.3710	0.3710	0.3710	0.3710
4	20:10:18	0.1000	1.6576	1.9339	0.3710	0.3710	0.3710	0.3710
5	20:10:40	0.1000	1.3764	1.8956	0.5161	0.5161	0.5161	0.5161
6	20:11:05	0.1000	1.2816	1.6276	0.5323	0.5323	0.5323	0.5323
7	20:11:28	0.1000	1.2202	1.5495	0.6290	0.6290	0.6290	0.6290
8	20:11:51	0.1000	0.9895	2.0768	0.3710	0.3710	0.3710	0.3710
9	20:12:13	0.1000	0.9414	1.6171	0.5484	0.5484	0.5484	0.5484
10	20:12:35	0.1000	0.8669	1.5977	0.5323	0.5323	0.5323	0.5323
11	20:12:58	0.1000	0.7728	1.6125	0.5806	0.5806	0.5806	0.5806
12	20:13:21	0.1000	0.6784	1.5610	0.4839	0.4839	0.4839	0.4839
13	20:13:46	0.1000	0.5984	1.6506	0.4194	0.4194	0.4194	0.4194
14	20:14:09	0.0500	0.4325	1.5126	0.6129	0.6129	0.6129	0.6129
15	20:14:33	0.0500	0.4453	1.7641	0.5484	0.5484	0.5484	0.5484
16	20:14:57	0.0500	0.3763	1.4799	0.5968	0.5968	0.5968	0.5968
17	20:15:22	0.0500	0.3625	1.4816	0.6290	0.6290	0.6290	0.6290
18	20:15:45	0.0500	0.2937	1.4516	0.6774	0.6774	0.6774	0.6774
19	20:16:07	0.0500	0.2827	1.5139	0.6129	0.6129	0.6129	0.6129
20	20:16:29	0.0500	0.2860	1.5770	0.6129	0.6129	0.6129	0.6129
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	20:26:53	0.1000	2.7655	2.4849	0.2258	0.2258	0.2258	0.2258
2	20:27:15	0.1000	2.2720	2.2279	0.2903	0.2903	0.2903	0.2903
3	20:27:37	0.1000	1.9015	1.9486	0.4516	0.4516	0.4516	0.4516
4	20:28:00	0.1000	1.5897	1.7977	0.5161	0.5161	0.5161	0.5161
5	20:28:22	0.1000	1.4211	1.7700	0.4355	0.4355	0.4355	0.4355
6	20:28:44	0.1000	1.2593	1.7430	0.5645	0.5645	0.5645	0.5645
7	20:29:07	0.1000	1.1010	1.5373	0.5645	0.5645	0.5645	0.5645
8	20:29:32	0.1000	1.0477	1.8330	0.5000	0.5000	0.5000	0.5000
9	20:29:56	0.1000	0.9278	1.6416	0.5484	0.5484	0.5484	0.5484
10	20:30:21	0.1000	0.7820	1.5759	0.5806	0.5806	0.5806	0.5806
11	20:30:47	0.1000	0.7355	1.6034	0.5323	0.5323	0.5323	0.5323
12	20:31:13	0.1000	0.7095	1.7097	0.5645	0.5645	0.5645	0.5645
13	20:31:36	0.1000	0.6312	1.5265	0.5968	0.5968	0.5968	0.5968
14	20:32:01	0.1000	0.6115	1.4858	0.5968	0.5968	0.5968	0.5968
